 32 C-HiZ_z1_277           150.307030   2.048213  20.9566  22.2417  21.4004 -22.11   1.06912976684087e+10 0.000000 I  1  53.087658  4.153598 1.246079 0.0 0.810556 36.70802 12.34161 0 0.838363   3.24006971022288e-17   1.64305976709027e+41  3.756916  53.4696 0 0  36.000000  49.96388   87.96039  58.22934  101.42559   21.39984   45.56498 0 RT+   501.32  218.80   322.27    0.00   21.681    2.011   21.564    2.000 O    0.90206    0.27062    0.95801    0.58937    0.45053
 33 C-HiZ_z1_280           150.309260   2.185492  21.4464  22.3966  21.7707 -21.62   6.80817185736773e+09 0.000000 I  1  87.099174  3.328800 0.998640 0.0 0.836763 33.97677 11.79535 0 0.837046   5.70581327989497e-17   2.88227531621270e+41  6.590428  60.6180 0 0  69.000000  52.29603  100.55340  54.94478  104.73117   23.13753   50.33757 0 RT+   414.87  183.93   279.72    0.00   44.435   22.217   32.620   16.310 M    0.64079    0.19224    0.91096    0.73862    0.62798
 34 C-HiZ_z1_285           150.313170   1.915621  21.9967 -23.7000  22.4946 -21.26   4.88686412189403e+09 0.000000 I  1  -7.012520  1.582058 0.474617 0.0 0.372198 71.31472 19.26294 0 0.833804   5.12438470682834e-17   2.56394196806043e+41  5.862547  99.5271 0 0   2.000000  80.10906   92.80936  90.70157  104.48447    5.85430   22.58382 0 RT+   196.71   71.44    86.55    0.00   29.711    6.746   28.405    6.449 O    0.45458    0.13637    0.62551    0.32782    0.30069
 35 C-HiZ_z1_289           150.323640   2.044072  20.9166  22.2564  21.3733 -22.17   1.12987450238063e+10 0.000000 I  1  32.529358  3.717569 1.115271 0.0 0.705949 46.29177 14.25836 0 0.842692   7.87543808293412e-17   4.04468021153875e+41  9.248309  78.4438 0 0  39.000000  83.17791  121.93375  95.18956  138.13011   24.52219   50.31237 0 RT+   611.07  253.49   343.14    0.00   22.001    2.017   21.821    2.000 O    0.80604    0.24181    0.66154    0.37120    0.30582
 36 C-HiZ_z1_290           150.325090   2.189153  23.4336  23.6739  23.1836 -19.48   9.48483932974736e+08 0.000000 I  1   8.293274  2.233145 0.669944 0.0 0.526778 60.17296 17.03459 0 0.836988   5.62560665476058e-17   2.84126725329412e+41  6.496662  53.6108 0 0  79.000000   6.59198    8.36862   4.92061    6.21472    2.11439    2.60573 0 DN     16.52    8.91    10.13    0.00   42.948    4.518   42.607    4.482 O    0.42989    0.12897    0.06012    0.10000    0.10000
 38 C-HiZ_z1_294           150.328790   2.004896  21.0462  23.2279  21.8422 -22.32   1.29726904862480e+10 0.000000 I  1  82.541512  0.929221 0.278766 0.0 0.850760 32.43838 11.48768 0 0.838768   2.75175920042295e-17   1.39709746209118e+41  3.194515  95.3733 0 0 -62.000000  40.38764   86.30337  54.79550  117.18472   26.65253   58.64133 0 RT    129.58   58.05    89.97    0.00   89.763   44.882   31.704   15.852 M    0.20177    0.10000    0.96179    0.79126    0.66505
 39 C-HiZ_z1_297           150.331280   2.047009  20.4653  23.0159  21.4946 -22.91   2.23372714014147e+10 0.000000 I  1  -3.834167  3.708441 1.112532 0.0 0.816351 36.11910 12.22382 0 0.840623   1.02593084202726e-16   5.23718149600077e+41 11.975007 117.9071 0 0  47.000000  70.89375  127.44545  70.01735  124.59631   26.36992   56.79475 0 RT    549.85  240.23   357.06    0.00   95.761   47.881   76.992   38.496 M    0.80469    0.24141    1.74877    1.39264    1.20042
 41 C-HiZ_z1_307           150.347480   2.133901  20.7465  22.7762  21.5165 -22.36   1.34595463659968e+10 0.000000 I  1  52.058956  3.846081 1.153824 0.0 0.501011 62.04142 17.40828 0 0.850864   1.33365040317009e-17   7.01419755238607e+40  1.603822  68.8359 0 0  33.000000  46.01795   55.53762  40.55079   48.47123    5.85852   12.86044 0 DN    221.84   85.38   105.73    0.00   71.751   35.875   63.460   31.730 M    0.73654    0.22096    2.39447    1.68771    1.59013
 43 C-HiZ_z1_311           150.352060   2.145032  22.4586  22.7438  22.3544 -20.48   2.38248395444243e+09 0.000000 I  1 -30.205141  1.710405 0.513121 0.0 0.536401 59.47036 16.89407 0 0.851730   8.23269513456488e-17   4.34075874185977e+41  9.925303  55.7432 0 0 -14.000000  23.14559   30.08181  23.77787   30.82408    4.03391    8.65342 0 RT     62.74   24.44    30.68    0.00   25.536   13.292   25.001   13.014 O    0.32745    0.10000    0.11530    0.08364    0.07858
 44 C-HiZ_z1_313           150.356960   1.909348  22.0983  23.7412  22.7461 -20.87   3.41216878413051e+09 0.000000 I  1 -39.918720  1.811004 0.543301 0.0 0.564883 57.37175 16.47435 0 0.854812   2.20891477773053e-17   1.17508519557214e+41  2.686875  67.8061 0 0 -68.000000  53.80026   70.91675  65.47851   85.97488   11.87915   25.04554 0 RT    185.28   72.82    92.20    0.00   62.040   31.020   33.928   16.964 M    0.38104    0.11431    1.13736    0.81324    0.75913
