box,grid_n,h,control,mode,eigenvalue,excitation_gap,outer_shell_probability,r_lt_2p2_probability
4.0,31,0.25,off,6,-3.8405706244330355,11.25461960567004,0.008245940397080981,0.7685489977649479
4.0,31,0.25,off,7,-3.826957989965099,11.268232240137978,0.01363804617252957,0.7520491148519675
4.0,31,0.25,off,8,-3.8269579899650874,11.268232240137989,0.013638046172390186,0.7520491148512055
4.0,31,0.25,off,9,-3.5320946976560084,11.563095532447068,0.04499826223862526,0.4630864071452177
4.0,31,0.25,off,10,-3.5320946976559995,11.563095532447077,0.04499826223612905,0.4630864071406476
4.0,31,0.25,off,11,-2.8782004202800895,12.216989809822987,0.13581943042772887,0.2504454374822499
4.0,31,0.25,linked,0,-15.279928598565647,0.0,7.503055060746254e-09,0.9999586722831937
4.0,31,0.25,linked,1,-7.486709761520414,7.793218837045233,5.700190019568402e-05,0.9885904533904237
4.0,31,0.25,linked,2,-7.470755208199683,7.809173390365964,5.8234047605147667e-05,0.9884494911543745
4.0,31,0.25,linked,3,-7.4541846480741745,7.825743950491472,5.9681300153714275e-05,0.9882739402410552
4.0,31,0.25,linked,4,-5.937428611831176,9.34249998673447,0.001394699320302042,0.904988590456226
4.0,31,0.25,linked,5,-3.855525226449283,11.424403372116364,0.008010612771028615,0.7729995764339047
4.0,31,0.25,linked,6,-3.8504914219791075,11.42943717658654,0.008093402845626417,0.7714863179738537
4.0,31,0.25,linked,7,-3.838000305780821,11.441928292784826,0.01329481045854275,0.7556841234912473
4.0,31,0.25,linked,8,-3.8350226697336587,11.444905928831988,0.013385227778343983,0.7547339818985214
4.0,31,0.25,linked,9,-3.8296712416367753,11.450257356928871,0.01355402443541861,0.7529826783318304
4.0,31,0.25,linked,10,-3.5530272682836426,11.726901330282004,0.04365636570235961,0.4690615002891562
4.0,31,0.25,linked,11,-3.551628555703177,11.72830004286247,0.043726572022775,0.46888659237855523
4.0,31,0.25,unlinked,0,-15.2461712775473,0.0,7.758470289673065e-09,0.9999577691091275
4.0,31,0.25,unlinked,1,-7.488351845719656,7.757819431827643,5.710246395166266e-05,0.9885582053749122
4.0,31,0.25,unlinked,2,-7.452375518671373,7.793795758875926,5.99760191564475e-05,0.9882283517337083
4.0,31,0.25,unlinked,3,-7.441633528537754,7.804537749009545,6.091800050984178e-05,0.9881164017017656
4.0,31,0.25,unlinked,4,-5.935250939188567,9.310920338358732,0.0013999713960773418,0.9047681899445837
4.0,31,0.25,unlinked,5,-3.859945550049044,11.386225727498255,0.007940647751049022,0.7739757211943233
4.0,31,0.25,unlinked,6,-3.847888839098522,11.398282438448778,0.00818531430999429,0.7705339824279619
4.0,31,0.25,unlinked,7,-3.840263001842819,11.40590827570448,0.013234978139719442,0.756250256119011
4.0,31,0.25,unlinked,8,-3.8363214993749666,11.409849778172333,0.013317099202986975,0.7551834428875597
4.0,31,0.25,unlinked,9,-3.829019022526456,11.417152255020843,0.013574762422353325,0.7527494828703053
4.0,31,0.25,unlinked,10,-3.5513466605880324,11.694824616959266,0.04375946744535213,0.46860441624042354
4.0,31,0.25,unlinked,11,-3.5459572111069586,11.70021406644034,0.04407733988389593,0.46734806639039284
4.0,31,0.25,spherical,0,-15.279327739838712,0.0,7.506674590992056e-09,0.9999586612885734
4.0,31,0.25,spherical,1,-7.470156650677788,7.809171089160923,5.8331116028342595e-05,0.9884344538339388
4.0,31,0.25,spherical,2,-7.470156650677785,7.809171089160927,5.8331116028343e-05,0.9884344538339404
4.0,31,0.25,spherical,3,-7.470156650677775,7.8091710891609365,5.833111602834283e-05,0.988434453833938
4.0,31,0.25,spherical,4,-5.937492721239719,9.341835018598992,0.001394586153358676,0.9049928566740683
4.0,31,0.25,spherical,5,-3.8514754731577545,11.427852266680958,0.008060855362625387,0.7718549685020262
4.0,31,0.25,spherical,6,-3.851475473157732,11.42785226668098,0.008060855407801616,0.7718549687470833
4.0,31,0.25,spherical,7,-3.8350626260989835,11.444265113739728,0.013392665999053558,0.7547576383089842
4.0,31,0.25,spherical,8,-3.8350626260989773,11.444265113739734,0.013392665991216425,0.7547576382608212
4.0,31,0.25,spherical,9,-3.550858100912625,11.728469638926086,0.04377851729382415,0.4686110079729904
4.0,31,0.25,spherical,10,-3.5508581009126243,11.728469638926088,0.04377851728862088,0.46861100796515587
4.0,31,0.25,spherical,11,-2.896339820377282,12.38298791946143,0.13309352517950143,0.25243880751758757
