beta,grid_n,h,mode,eigenvalue,localized_fraction,dominant_l,purity,score_l0,score_l1,score_l2,score_l3
0.5,29,0.19999999999999973,17,3.7623978181276208,0.4755289500933552,3,0.5329159850546995,1.365140133820524e-05,0.38172161806280347,2.508424629383085e-06,0.5329159850546995
1.0,23,0.25,0,-0.9128573923723696,0.9199525985924515,0,0.9974025816561695,0.9974025816561695,0.0020397412815785845,0.002214828200235901,0.002823497939627744
1.0,23,0.25,1,0.5458135825612479,0.6612954161301425,1,0.9736968316386226,1.6508290087192025e-06,0.9736968316386226,1.6768780760683105e-06,0.011860956978170991
1.0,23,0.25,2,0.5486544714173461,0.6601152512317544,1,0.9737867869973754,9.926439036010345e-08,0.9737867869973754,2.2828343005040463e-06,0.011969785828933068
1.0,23,0.25,3,0.5503813116230646,0.6593903902819617,1,0.9736898463084692,1.3558278639114828e-06,0.9736898463084692,1.2184382995163826e-06,0.012017067302803199
1.0,23,0.25,4,1.3140759432508353,0.4786102465408386,0,0.9269533415184781,0.9269533415184781,0.0022929798714098003,0.0024978180683337715,0.0031615951352911443
1.0,23,0.25,5,1.5641076376301108,0.4072119945425265,2,0.9404535788704174,4.5217147772208073e-07,2.503104822339356e-06,0.9404535788704174,2.8084867583885033e-07
1.0,23,0.25,6,1.5643843869398186,0.4070521719195897,2,0.9404217974751218,2.259389726715077e-07,1.2192625741665539e-06,0.9404217974751218,1.2614499199720246e-07
1.0,23,0.25,7,1.5647208387027796,0.4068458958147033,2,0.9403867821108877,1.470320698695394e-10,1.79779796319242e-10,0.9403867821108877,5.2877654114706155e-11
1.0,23,0.25,8,2.001560898551259,0.5532854761879078,2,0.9591924665782219,7.69319822829216e-06,6.063645138278296e-08,0.9591924665782219,9.75891492134113e-08
1.0,23,0.25,9,2.002175984930393,0.5530092888740232,2,0.9592253216315483,2.630528870280127e-06,4.627645024752462e-06,0.9592253216315483,5.197019703338065e-07
1.0,23,0.25,10,2.4916322104132256,0.21495110135834786,3,0.8728833680360129,2.975251491932029e-11,2.635228965905592e-09,1.506026505712444e-10,0.8728833680360129
1.0,23,0.25,11,2.793574110217022,0.3762354778524407,1,0.4886904743423558,2.5986750830429125e-06,0.4886904743423558,5.694571930616429e-06,0.3749215307016606
1.0,23,0.25,12,2.7980886625310735,0.3757530675986953,1,0.48600936142665985,4.44595318816042e-08,0.48600936142665985,5.369846450306495e-06,0.3787529373906267
1.0,23,0.25,13,2.8008659756167447,0.37541234949173397,1,0.4838764176901996,6.761640111206127e-07,0.4838764176901996,3.3108507648017133e-06,0.3806674913440193
1.0,23,0.25,14,2.9579377873305606,0.30914317888982734,3,0.9361389727924954,4.638010968475449e-07,1.2337498065554666e-06,1.0330479243682357e-07,0.9361389727924954
1.0,23,0.25,15,2.957976038620698,0.3091225039472463,3,0.9361347412404563,7.575411494752557e-08,2.604483255529784e-06,1.578849770796961e-07,0.9361347412404563
1.0,23,0.25,16,2.958031235297262,0.30909232147955323,3,0.9361310713126137,1.2214663588556387e-08,1.0726409738247306e-06,5.632959302755135e-08,0.9361310713126137
1.0,23,0.25,17,3.7217013291193464,0.4867357409336543,3,0.53998445625373,8.856507528110126e-05,0.37554335227101476,9.737513569292909e-06,0.53998445625373
1.0,29,0.19999999999999973,0,-0.8938330808072472,0.9127160342109214,0,0.9973536033255064,0.9973536033255064,0.0005273202291788332,0.0006608296394870617,0.0008941267337862368
1.0,29,0.19999999999999973,1,0.5493931673559135,0.6473698737480813,1,0.9733304185145957,1.0233373406449876e-06,0.9733304185145957,1.4800185592816875e-06,0.011700448392088897
1.0,29,0.19999999999999973,2,0.5517912726859726,0.6466343609419831,1,0.973326124054974,2.8101419185633957e-07,0.973326124054974,2.2019566898664374e-06,0.011802660128085094
1.0,29,0.19999999999999973,3,0.5535121092799851,0.6456608384749619,1,0.9732307997272909,1.3444261440977423e-06,0.9732307997272909,9.85465181174435e-07,0.01184880846620365
1.0,29,0.19999999999999973,4,1.345056413230494,0.46319384090892296,0,0.9251226694790943,0.9251226694790943,0.0006032195276296037,0.000763166976700108,0.001014658673547737
1.0,29,0.19999999999999973,5,1.5689533925937293,0.3899261503957124,2,0.9398765867827461,7.208887553716031e-07,2.375748551684313e-06,0.9398765867827461,2.537130163266963e-07
1.0,29,0.19999999999999973,6,1.569231361041704,0.38950764220320505,2,0.9398454767738621,6.910488640810991e-07,1.0051291104236861e-06,0.9398454767738621,1.0190863728127777e-07
1.0,29,0.19999999999999973,7,1.5695377414379283,0.38959102249096783,2,0.9398135190385786,2.094327640539182e-09,5.187208540186951e-10,0.9398135190385786,1.2065195199217346e-10
1.0,29,0.19999999999999973,8,2.0136645035871954,0.5403396373933507,2,0.9584465629829103,6.2685262956599585e-06,1.4775004612882777e-08,0.9584465629829103,4.3649885473593005e-08
1.0,29,0.19999999999999973,9,2.014144828563073,0.5401850224589816,2,0.9584503306789772,2.6805246650235115e-06,4.1325939288303574e-06,0.9584503306789772,4.6517410973689876e-07
1.0,29,0.19999999999999973,10,2.49847731125923,0.1942830235557188,3,0.8716890742997342,1.0668642273774737e-10,5.829755139290481e-09,3.686078855805961e-10,0.8716890742997342
1.0,29,0.19999999999999973,11,2.8093491575181813,0.367414856507142,1,0.48340531186802965,1.9267623346559612e-06,0.48340531186802965,4.982084485653285e-06,0.37747843947090454
1.0,29,0.19999999999999973,12,2.8130740105208862,0.36696080037383716,1,0.48104633764000276,1.171301271410114e-07,0.48104633764000276,5.173255531524531e-06,0.38031173197491946
1.0,29,0.19999999999999973,13,2.815822783565589,0.36668363226112266,1,0.47890382487405286,6.186036023969973e-07,0.47890382487405286,2.68901069675779e-06,0.38224055384479305
1.0,29,0.19999999999999973,14,2.9718065314511546,0.3000002828609974,3,0.9353916870738512,4.522120604729046e-07,1.1188592557082126e-06,7.726701951932714e-08,0.9353916870738512
1.0,29,0.19999999999999973,15,2.9718375650067963,0.3002226038900515,3,0.935387905274388,5.6201575199876366e-08,2.546608374746731e-06,1.4389496919333972e-07,0.935387905274388
1.0,29,0.19999999999999973,16,2.971888982035076,0.3001342376644037,3,0.9353849099583198,1.2945171871277902e-08,8.906009115098031e-07,4.29757072600957e-08,0.9353849099583198
1.0,29,0.19999999999999973,17,3.757882986439236,0.47526760721984607,3,0.5359073629579275,6.254735053524121e-05,0.3792166430995324,9.922321073033018e-06,0.5359073629579275
