alpha,samples,strand,mode,eigenvalue,dominant_l,score_l0,score_l1,score_l2,length,potential_min,potential_max
0.0,512,1,11,110.48898070568876,2,3.468000425745884e-27,0.08911144924937951,0.09508425190744703,3.587764272491925,-0.0,-0.0
0.0,512,1,12,110.49185414002031,2,4.413196323451893e-27,0.007705397070913205,0.12389054058266077,3.587764272491925,-0.0,-0.0
0.0,512,1,13,150.42799082576437,2,3.81751808823668e-29,0.008959127470435691,0.14319715274205708,3.587764272491925,-0.0,-0.0
0.0,512,1,14,150.42901782384087,2,2.57113290960347e-28,0.05602918816072445,0.07530782736113549,3.587764272491925,-0.0,-0.0
0.0,512,1,15,196.53512666118792,2,1.1370093049575366e-29,0.001624291290870246,0.1292811267930825,3.587764272491925,-0.0,-0.0
0.0,512,1,16,196.5378163432195,2,2.9635197730779457e-28,0.03285786074038167,0.06458739778703534,3.587764272491925,-0.0,-0.0
0.0,512,1,17,248.82358398186273,2,3.1857848990054735e-28,0.02234618159914253,0.044228488138938045,3.587764272491925,-0.0,-0.0
0.1,128,0,0,-0.26041981025212346,2,0.999089001817331,0.8936070146962832,0.999851275436027,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,1,4.8112567679798115,2,0.0008829158823219589,0.5520694618839416,0.9566035181382355,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,2,4.954713987574019,2,6.074835222641836e-07,0.8404822502251034,0.9685627552253172,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,3,20.27565162011509,2,2.4808609387175294e-05,0.17404407474513353,0.33135652742059946,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,4,20.3439507613394,2,3.692378873173437e-08,0.09073733932526791,0.2208107749466466,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,5,46.05936635964752,2,2.186610459842497e-06,0.06544610152669167,0.12240750368163109,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,6,46.09104915741056,2,9.689278058359114e-11,0.028603553137977165,0.1390581924629732,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,7,82.23872997418653,2,3.395925110406555e-07,0.06259052323035696,0.10800597180892679,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,8,82.2797382011212,2,1.9411808901412342e-09,0.015451860151003948,0.07676781653495506,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,9,128.9509493016955,2,7.073191426475053e-08,0.04790464225953618,0.08373346556573733,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,10,128.997013911865,2,1.2144273071285014e-09,0.010664994741975213,0.06471503043330408,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,11,186.32917284566565,2,1.2111935449004456e-08,0.02830559873923297,0.06980079470402599,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,12,186.39854760877094,2,7.321174797241487e-09,0.019269121483908292,0.06093679646511604,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,13,254.58990065959333,2,6.467582087535042e-11,0.004375944137701913,0.060988092585108095,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,14,254.62093121007052,2,6.212749697878533e-09,0.0313350980147178,0.05487836969792221,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,15,333.88501941283357,2,1.7926483352611667e-09,0.021582278667980313,0.04534993440593357,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,16,333.9301499758394,2,2.9496737717093253e-10,0.004584495281752279,0.050468709342513345,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,0,17,424.4677147282374,2,7.628740430608166e-10,0.019676167110293626,0.03730188624293225,2.7725235486343225,-1.0023886612317305,-0.128411798395593
0.1,128,1,0,-0.22314386861199811,2,0.99851563854549,0.46834635823179516,0.9997230626727828,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,1,2.792171253177593,2,0.0014313531894631767,0.668981914289465,0.9058884783010654,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,2,2.9120979761122454,1,1.0536096938990423e-07,0.8783931380022464,0.5189728454704269,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,3,12.045036996963908,2,4.8740429666860967e-05,0.10877115313376495,0.3279665308705576,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,4,12.096474085373448,2,3.893610146114465e-09,0.07573131229904811,0.40550258112135906,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,5,27.455143121957242,1,3.3517668674021946e-06,0.15838435773297382,0.14551173740882925,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,6,27.494023472092366,2,6.368334405724415e-09,0.03267005520232333,0.0697540741837939,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,7,49.11748833359355,1,6.327908022077065e-07,0.21295936180928465,0.10879078195018962,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,8,49.12645846535832,2,2.604868058030802e-09,0.013837523079235726,0.05291984535573091,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,9,77.08468028854125,2,4.288261634689656e-10,0.010461942417402673,0.11452574764133673,3.587056141384256,-0.7597437021043807,-0.11094001230293818
0.1,128,1,10,77.10419732227234,2,1.2828960587856906e-07,0.11757662516354868,0.14267546497950567,3.587056141384256,-0.7597437021043807,-0.11094001230293818
