box,family,mode,original_gap,sham_gap,unlink_gap,sham_minus_original,unlink_minus_original,unlink_minus_sham,original_outer,sham_outer,unlink_outer
4.0,4,3,7.825391473276578,7.82083168454742,7.820561604888596,-0.004559788729157965,-0.004829868387981939,-0.000270079658823974,5.948639412300372e-05,5.9607806578951057e-05,5.9633556027545665e-05
5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.590249156587416e-12,7.622959021419222e-12,7.623396664751377e-12
5.0,0,1,7.796612784286258,7.793928964769089,7.793828273107607,-0.002683819517169006,-0.0027845111786506394,-0.00010069166148163333,7.555291463398758e-07,7.565338751068583e-07,7.564435818724851e-07
5.0,0,2,7.812530656356553,7.809475223541015,7.8094768824275995,-0.003055432815537884,-0.0030537739289533405,1.6588865845434952e-06,7.771862931376203e-07,7.775807214741927e-07,7.776499654181487e-07
5.0,0,3,7.825363179006051,7.822202688465793,7.822163810991942,-0.003160490540258465,-0.0031993680141093606,-3.887747385089568e-05,7.962401690084927e-07,7.964655482488117e-07,7.964673208227137e-07
5.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7.590249156587416e-12,7.624478375870064e-12,7.626730825065754e-12
5.0,1,1,7.796612784286258,7.793176006804104,7.7928903017429425,-0.0034367774821539854,-0.0037224825433153086,-0.0002857050611613232,7.555291463398758e-07,7.558548006812865e-07,7.558027668716478e-07
5.0,1,2,7.812530656356553,7.8109123828826235,7.810918458754991,-0.0016182734739293991,-0.0016121976015615047,6.075872367894419e-06,7.771862931376203e-07,7.801704206181027e-07,7.805553633294261e-07
5.0,1,3,7.825363179006051,7.8224208866983815,7.822282323032593,-0.002942292307669625,-0.0030808559734580854,-0.00013856366578846036,7.962401690084927e-07,7.97363841193266e-07,7.975510493187139e-07
5.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,7.590249156587416e-12,7.639003862828254e-12,7.64927814169493e-12
5.0,2,1,7.796612784286258,7.792460742163186,7.791563120445125,-0.004152042123071631,-0.005049663841132812,-0.0008976217180611812,7.555291463398758e-07,7.55793949652253e-07,7.55857941990696e-07
5.0,2,2,7.812530656356553,7.803869900912979,7.802233822292343,-0.008660755443574253,-0.010296834064210003,-0.0016360786206357503,7.771862931376203e-07,7.707050741015137e-07,7.696964492368201e-07
5.0,2,3,7.825363179006051,7.820701767327307,7.819806456901816,-0.00466141167874401,-0.005556722104235412,-0.0008953104254914024,7.962401690084927e-07,7.959892392051421e-07,7.961215234173035e-07
5.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,7.590249156587416e-12,7.602058091406279e-12,7.601205090633286e-12
5.0,3,1,7.796612784286258,7.794829330318856,7.794827543563121,-0.0017834539674019823,-0.0017852407231364609,-1.7867557344786178e-06,7.555291463398758e-07,7.550596979434836e-07,7.549454622260653e-07
5.0,3,2,7.812530656356553,7.814693939929043,7.81496524614774,0.0021632835724902932,0.0024345897911874914,0.0002713062186971982,7.771862931376203e-07,7.826664664687818e-07,7.82972346241795e-07
5.0,3,3,7.825363179006051,7.824065394740989,7.824156126339878,-0.0012977842650618854,-0.0012070526661736025,9.073159888828286e-05,7.962401690084927e-07,7.965848057961503e-07,7.966214203381686e-07
5.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,7.590249156587416e-12,7.647319247942136e-12,7.65251043764922e-12
5.0,4,1,7.796612784286258,7.791537574941903,7.79101195398549,-0.005075209344354903,-0.005600830300767967,-0.0005256209564130643,7.555291463398758e-07,7.568756802843348e-07,7.569092881626314e-07
5.0,4,2,7.812530656356553,7.806873651694246,7.806329055482719,-0.00565700466230723,-0.0062016008738341455,-0.0005445962115269154,7.771862931376203e-07,7.769843609376737e-07,7.769102970428584e-07
5.0,4,3,7.825363179006051,7.8208033289084335,7.820533236214936,-0.004559850097617613,-0.004829942791115371,-0.0002700926934977588,7.962401690084927e-07,7.983086165101901e-07,7.98746437212971e-07
